Player,Minutes,Actual Impact,Predicted Impact
Shavy Babicka,368.99999999999994,0.008130081300813009,0.012406377428490172
Aliou Badara Baldé,72.0,0.0,0.012505853592156536
Loïc Bade,2277.0,0.004391743522178305,0.011767318437663833
Milan Badelj,2538.0,0.008668242710795903,0.011679899990805513
Matthias Bader,1800.0,0.011666666666666667,0.011927083185370418
Benoît Badiashile,1341.0,0.005219985085756898,0.012080819074672981
Alex Baena,2583.0,0.03832752613240418,0.011664827844795458
Jaime Báez,503.99999999999994,0.01785714285714286,0.012361160990460005
Nicola Bagnolini,9.0,0.0,0.012526954596570612
Leon Bailey,2070.0,0.03429951690821256,0.011836650309310087
Eric Bailly,837.0000000000001,0.0,0.012249627109985598
Stefan Bajcetic,27.0,0.0,0.01252092573816659
Nedim Bajrami,1314.0,0.0197869101978691,0.012089862362279014
Cédric Bakambu,198.00000000000003,0.01515151515151515,0.012463651583328381
Tiemoué Bakayoko,1314.0,0.00532724505327245,0.012089862362279014
Mitchel Bakker,378.0,0.010582010582010581,0.01240336299928816
